1 0 FT924-655 1  22.968359 STANDARD
1 0 FT922-187 1  14.267197 STANDARD
1 0 FT924-10123 1  14.266354 STANDARD
1 0 FT923-2163 1  14.245027 STANDARD
1 0 FT924-7854 1  14.242499 STANDARD
1 0 FT942-15501 1  14.240559 STANDARD
1 0 FT921-14256 1  14.232078 STANDARD
1 0 FT934-11804 1  14.210636 STANDARD
1 0 FT921-13979 1  14.205915 STANDARD
1 0 FT942-5906 1  14.20431 STANDARD
1 0 FT934-12742 1  14.203203 STANDARD
1 0 FT924-367 1  14.171294 STANDARD
1 0 FT931-1645 1  14.169747 STANDARD
1 0 FT943-4882 1  14.167994 STANDARD
1 0 FT941-14808 1  14.166086 STANDARD
1 0 FT921-13792 1  14.165868 STANDARD
1 0 FT941-15215 1  14.160451 STANDARD
1 0 FT931-2393 1  14.157736 STANDARD
1 0 FT922-12268 1  14.151366 STANDARD
1 0 FT924-3663 1  14.145411 STANDARD
1 0 FT941-3572 1  14.139926 STANDARD
1 0 FT923-193 1  14.137102 STANDARD
1 0 FT941-12163 1  14.128517 STANDARD
1 0 FT922-745 1  14.1202545 STANDARD
1 0 FT943-14618 1  14.109164 STANDARD
1 0 FT922-7063 1  14.108551 STANDARD
1 0 FT934-2640 1  14.104433 STANDARD
1 0 FT934-16281 1  14.097067 STANDARD
1 0 FT944-9869 1  14.096282 STANDARD
1 0 FT943-5117 1  14.092499 STANDARD
1 0 FT924-12755 1  14.089845 STANDARD
1 0 FT924-10764 1  14.0760765 STANDARD
1 0 FT931-17112 1  14.071717 STANDARD
1 0 FT941-916 1  14.0619135 STANDARD
1 0 FT923-9312 1  14.054286 STANDARD
1 0 FT931-11668 1  14.031719 STANDARD
1 0 FT922-9973 1  14.010146 STANDARD
1 0 FT932-2158 1  14.009028 STANDARD
1 0 FT922-4593 1  14.005546 STANDARD
1 0 FT932-10764 1  14.005025 STANDARD
1 0 FT931-16409 1  13.992895 STANDARD
1 0 FT924-4390 1  13.983824 STANDARD
1 0 FT942-572 1  13.983126 STANDARD
1 0 FT924-8145 1  13.979932 STANDARD
1 0 FT941-9270 1  13.9794 STANDARD
1 0 FT942-3340 1  13.974332 STANDARD
1 0 FT923-7804 1  13.967801 STANDARD
1 0 FT933-3195 1  13.964349 STANDARD
1 0 FT934-13644 1  13.960377 STANDARD
1 0 FT934-14815 1  13.9603195 STANDARD
1 0 FT944-14276 1  13.954913 STANDARD
1 0 FT943-4556 1  13.954845 STANDARD
1 0 FT931-16999 1  13.952823 STANDARD
1 0 FT923-10834 1  13.9514475 STANDARD
1 0 FT941-829 1  13.951033 STANDARD
1 0 FT944-18368 1  13.94662 STANDARD
1 0 FT923-6912 1  13.940585 STANDARD
1 0 FT934-10977 1  13.939982 STANDARD
1 0 FT932-8768 1  13.930144 STANDARD
1 0 FT922-1435 1  13.927724 STANDARD
1 0 FT923-5970 1  13.924756 STANDARD
1 0 FT934-12096 1  13.921739 STANDARD
1 0 FT934-15555 1  13.880906 STANDARD
1 0 FT932-5957 1  13.873092 STANDARD
1 0 FT923-7629 1  13.8708315 STANDARD
1 0 FT934-6533 1  13.869718 STANDARD
1 0 FT923-5386 1  13.864607 STANDARD
1 0 FT911-1024 1  13.863281 STANDARD
1 0 FT931-1883 1  13.862732 STANDARD
1 0 FT923-11069 1  13.862363 STANDARD
1 0 FT924-13243 1  13.853436 STANDARD
1 0 FT921-2285 1  13.842595 STANDARD
1 0 FT932-10867 1  13.833502 STANDARD
1 0 FT922-3403 1  13.824654 STANDARD
1 0 FT944-8227 1  13.82069 STANDARD
1 0 FT941-2465 1  13.79108 STANDARD
1 0 FT932-12852 1  13.788827 STANDARD
1 0 FT932-9589 1  13.780724 STANDARD
1 0 FT944-1603 1  13.77609 STANDARD
1 0 FT944-8080 1  13.7724905 STANDARD
1 0 FT944-12043 1  13.759776 STANDARD
1 0 FT921-16278 1  13.750705 STANDARD
1 0 FT923-4488 1  13.747574 STANDARD
1 0 FT934-5119 1  13.745112 STANDARD
1 0 FT924-2655 1  13.734102 STANDARD
1 0 FT933-2860 1  13.729036 STANDARD
1 0 FT932-12244 1  13.728567 STANDARD
1 0 FT941-4010 1  13.726627 STANDARD
1 0 FT942-3843 1  13.722687 STANDARD
1 0 FT942-3225 1  13.721419 STANDARD
1 0 FT924-15123 1  13.720378 STANDARD
1 0 FT944-13626 1  13.713224 STANDARD
1 0 FT931-11098 1  13.713019 STANDARD
1 0 FT941-265 1  13.707917 STANDARD
1 0 FT942-8274 1  13.706973 STANDARD
1 0 FT923-8705 1  13.704763 STANDARD
1 0 FT942-8320 1  13.702201 STANDARD
1 0 FT924-15356 1  13.695492 STANDARD
1 0 FT932-3136 1  13.691428 STANDARD
1 0 FT924-8872 1  13.683134 STANDARD
1 0 FT924-107 1  13.682127 STANDARD
1 0 FT933-13519 1  13.66701 STANDARD
1 0 FT933-2237 1  13.661503 STANDARD
1 0 FT921-1103 1  13.652408 STANDARD
1 0 FT944-1271 1  13.6487665 STANDARD
1 0 FT934-7671 1  13.648668 STANDARD
1 0 FT934-7523 1  13.643345 STANDARD
1 0 FT933-29 1  13.641209 STANDARD
1 0 FT943-16966 1  13.637819 STANDARD
1 0 FT941-16333 1  13.635809 STANDARD
1 0 FT923-402 1  13.633765 STANDARD
1 0 FT924-7647 1  13.6324625 STANDARD
1 0 FT941-14171 1  13.630623 STANDARD
1 0 FT934-10038 1  13.6254225 STANDARD
1 0 FT923-14320 1  13.620703 STANDARD
1 0 FT942-1249 1  13.605343 STANDARD
1 0 FT941-4427 1  13.602703 STANDARD
1 0 FT933-4337 1  13.590948 STANDARD
1 0 FT931-1410 1  13.58977 STANDARD
1 0 FT922-3082 1  13.586497 STANDARD
1 0 FT943-3805 1  13.581548 STANDARD
1 0 FT943-3495 1  13.579411 STANDARD
1 0 FT933-13590 1  13.569426 STANDARD
1 0 FT911-5249 1  13.562835 STANDARD
1 0 FT943-4323 1  13.56248 STANDARD
1 0 FT943-5559 1  13.56176 STANDARD
1 0 FT923-4279 1  13.559286 STANDARD
1 0 FT924-3649 1  13.550682 STANDARD
1 0 FT934-12471 1  13.550255 STANDARD
1 0 FT941-16875 1  13.54419 STANDARD
1 0 FT942-12704 1  13.537616 STANDARD
1 0 FT944-11221 1  13.537246 STANDARD
1 0 FT942-17612 1  13.534436 STANDARD
1 0 FT944-14469 1  13.52356 STANDARD
1 0 FT924-10605 1  13.519771 STANDARD
1 0 FT923-11971 1  13.517698 STANDARD
1 0 FT921-9979 1  13.515166 STANDARD
1 0 FT941-6609 1  13.514004 STANDARD
1 0 FT931-7111 1  13.507897 STANDARD
1 0 FT924-13980 1  13.50558 STANDARD
1 0 FT922-7655 1  13.500386 STANDARD
1 0 FT941-10321 1  13.497164 STANDARD
1 0 FT923-2987 1  13.492803 STANDARD
1 0 FT942-8313 1  13.492034 STANDARD
1 0 FT944-16098 1  13.488751 STANDARD
1 0 FT932-5319 1  13.483452 STANDARD
1 0 FT943-680 1  13.482423 STANDARD
1 0 FT944-13671 1  13.481471 STANDARD
1 0 FT944-15011 1  13.481043 STANDARD
1 0 FT922-9682 1  13.476134 STANDARD
1 0 FT934-7139 1  13.47541 STANDARD
1 0 FT924-6343 1  13.473796 STANDARD
1 0 FT942-7385 1  13.469248 STANDARD
1 0 FT923-13908 1  13.468226 STANDARD
1 0 FT921-7380 1  13.462872 STANDARD
1 0 FT922-2584 1  13.458983 STANDARD
1 0 FT932-6277 1  13.44947 STANDARD
1 0 FT934-11660 1  13.447112 STANDARD
1 0 FT943-5381 1  13.436396 STANDARD
1 0 FT922-11387 1  13.432235 STANDARD
1 0 FT923-1813 1  13.429581 STANDARD
1 0 FT941-1663 1  13.428102 STANDARD
1 0 FT942-8713 1  13.426183 STANDARD
1 0 FT921-13296 1  13.42554 STANDARD
1 0 FT941-7561 1  13.424445 STANDARD
1 0 FT931-15001 1  13.414937 STANDARD
1 0 FT942-4763 1  13.408326 STANDARD
1 0 FT944-16194 1  13.406961 STANDARD
1 0 FT923-8490 1  13.401257 STANDARD
1 0 FT932-1318 1  13.397608 STANDARD
1 0 FT941-12913 1  13.39354 STANDARD
1 0 FT944-12171 1  13.386469 STANDARD
1 0 FT944-16749 1  13.383109 STANDARD
1 0 FT921-13466 1  13.382791 STANDARD
1 0 FT932-596 1  13.382049 STANDARD
1 0 FT923-3814 1  13.381824 STANDARD
1 0 FT932-9444 1  13.380186 STANDARD
1 0 FT934-1706 1  13.377754 STANDARD
1 0 FT911-428 1  13.371139 STANDARD
1 0 FT923-14134 1  13.370047 STANDARD
1 0 FT934-5667 1  13.365687 STANDARD
1 0 FT924-3026 1  13.361706 STANDARD
1 0 FT923-4844 1  13.359978 STANDARD
1 0 FT944-10267 1  13.358776 STANDARD
1 0 FT924-10640 1  13.352803 STANDARD
1 0 FT942-2168 1  13.350845 STANDARD
1 0 FT922-14344 1  13.349566 STANDARD
1 0 FT944-13840 1  13.349079 STANDARD
1 0 FT944-12830 1  13.345682 STANDARD
1 0 FT922-6753 1  13.343308 STANDARD
1 0 FT941-1057 1  13.340473 STANDARD
1 0 FT942-2139 1  13.33863 STANDARD
1 0 FT943-7873 1  13.332818 STANDARD
1 0 FT931-10985 1  13.331033 STANDARD
1 0 FT944-11506 1  13.330772 STANDARD
1 0 FT922-5176 1  13.329105 STANDARD
1 0 FT941-12277 1  13.326047 STANDARD
1 0 FT932-10591 1  13.325945 STANDARD
1 0 FT943-10631 1  13.319195 STANDARD
1 0 FT924-10751 1  13.318975 STANDARD
1 0 FT922-3020 1  13.318636 STANDARD
1 0 FT941-6745 1  13.316237 STANDARD
1 0 FT923-6627 1  13.314281 STANDARD
1 0 FT931-7884 1  13.3048725 STANDARD
1 0 FT924-14467 1  13.30461 STANDARD
1 0 FT942-6599 1  13.295326 STANDARD
1 0 FT941-754 1  13.295096 STANDARD
1 0 FT933-933 1  13.291666 STANDARD
1 0 FT922-7054 1  13.2867565 STANDARD
1 0 FT934-17339 1  13.286333 STANDARD
1 0 FT944-6431 1  13.285621 STANDARD
1 0 FT942-11399 1  13.28387 STANDARD
1 0 FT944-6354 1  13.283534 STANDARD
1 0 FT942-8067 1  13.280821 STANDARD
1 0 FT941-10746 1  13.280209 STANDARD
1 0 FT942-5551 1  13.277773 STANDARD
1 0 FT933-12804 1  13.277073 STANDARD
1 0 FT924-11066 1  13.272685 STANDARD
1 0 FT922-8243 1  13.27196 STANDARD
1 0 FT944-13329 1  13.2581215 STANDARD
1 0 FT942-2608 1  13.252523 STANDARD
1 0 FT933-2235 1  13.249082 STANDARD
1 0 FT934-14195 1  13.247637 STANDARD
1 0 FT922-5769 1  13.247312 STANDARD
1 0 FT942-4404 1  13.240869 STANDARD
1 0 FT924-3102 1  13.23478 STANDARD
1 0 FT932-3606 1  13.229441 STANDARD
1 0 FT924-14613 1  13.227531 STANDARD
1 0 FT922-8819 1  13.227507 STANDARD
1 0 FT924-8471 1  13.225468 STANDARD
1 0 FT934-2558 1  13.221 STANDARD
1 0 FT942-3086 1  13.214874 STANDARD
1 0 FT924-10765 1  13.20792 STANDARD
1 0 FT922-11311 1  13.204807 STANDARD
1 0 FT931-9281 1  13.198071 STANDARD
1 0 FT942-9499 1  13.19549 STANDARD
1 0 FT924-4823 1  13.1942625 STANDARD
1 0 FT932-572 1  13.191473 STANDARD
1 0 FT921-12766 1  13.190037 STANDARD
1 0 FT931-8713 1  13.187365 STANDARD
1 0 FT921-5409 1  13.171089 STANDARD
1 0 FT923-8685 1  13.166173 STANDARD
1 0 FT941-15187 1  13.165514 STANDARD
1 0 FT922-4555 1  13.160491 STANDARD
1 0 FT944-17973 1  13.155247 STANDARD
1 0 FT933-2589 1  13.150076 STANDARD
1 0 FT931-6054 1  13.1494 STANDARD
1 0 FT922-10281 1  13.145246 STANDARD
1 0 FT931-11618 1  13.142114 STANDARD
1 0 FT924-9759 1  13.134938 STANDARD
1 0 FT924-2853 1  13.125706 STANDARD
1 0 FT932-2885 1  13.1198435 STANDARD
1 0 FT924-15522 1  13.117706 STANDARD
1 0 FT932-16641 1  13.113626 STANDARD
1 0 FT933-2073 1  13.112347 STANDARD
1 0 FT921-12842 1  13.105758 STANDARD
1 0 FT933-1827 1  13.105522 STANDARD
1 0 FT944-8129 1  13.101489 STANDARD
1 0 FT944-17601 1  13.100863 STANDARD
1 0 FT943-6220 1  13.092038 STANDARD
1 0 FT944-14584 1  13.086785 STANDARD
1 0 FT923-971 1  13.08577 STANDARD
1 0 FT923-9330 1  13.082361 STANDARD
1 0 FT921-15847 1  13.08205 STANDARD
1 0 FT923-8709 1  13.080669 STANDARD
1 0 FT941-3017 1  13.078717 STANDARD
1 0 FT922-2274 1  13.068657 STANDARD
1 0 FT933-9820 1  13.067309 STANDARD
1 0 FT944-15845 1  13.056365 STANDARD
1 0 FT922-8825 1  13.056151 STANDARD
1 0 FT931-2265 1  13.051774 STANDARD
1 0 FT923-6530 1  13.048412 STANDARD
1 0 FT931-10677 1  13.047895 STANDARD
1 0 FT922-4437 1  13.047336 STANDARD
1 0 FT922-12217 1  13.045828 STANDARD
1 0 FT924-15581 1  13.043306 STANDARD
1 0 FT932-15478 1  13.031875 STANDARD
1 0 FT911-318 1  13.031268 STANDARD
1 0 FT924-176 1  13.023412 STANDARD
1 0 FT944-7108 1  13.022764 STANDARD
1 0 FT924-15719 1  13.019717 STANDARD
1 0 FT923-14024 1  13.018825 STANDARD
1 0 FT924-10824 1  13.016831 STANDARD
1 0 FT942-3200 1  13.009693 STANDARD
1 0 FT932-15096 1  13.007276 STANDARD
1 0 FT921-4320 1  13.002569 STANDARD
1 0 FT943-6326 1  12.999158 STANDARD
1 0 FT922-5175 1  12.998434 STANDARD
1 0 FT943-15079 1  12.997847 STANDARD
1 0 FT941-6654 1  12.991398 STANDARD
1 0 FT933-959 1  12.985847 STANDARD
1 0 FT931-8460 1  12.985464 STANDARD
1 0 FT943-309 1  12.985113 STANDARD
1 0 FT933-14017 1  12.981315 STANDARD
1 0 FT923-9718 1  12.979773 STANDARD
1 0 FT921-12295 1  12.973314 STANDARD
1 0 FT942-11931 1  12.972626 STANDARD
1 0 FT944-8022 1  12.971574 STANDARD
1 0 FT921-9743 1  12.968218 STANDARD
1 0 FT923-6037 1  12.961597 STANDARD
1 0 FT922-1684 1  12.956985 STANDARD
1 0 FT924-11393 1  12.956487 STANDARD
1 0 FT943-11168 1  12.956194 STANDARD
1 0 FT942-576 1  12.954844 STANDARD
1 0 FT922-1746 1  12.948228 STANDARD
1 0 FT932-10095 1  12.945912 STANDARD
1 0 FT942-10134 1  12.941966 STANDARD
1 0 FT922-6487 1  12.940858 STANDARD
1 0 FT934-14726 1  12.937144 STANDARD
1 0 FT931-5521 1  12.930777 STANDARD
1 0 FT922-594 1  12.922973 STANDARD
1 0 FT921-3589 1  12.9111595 STANDARD
1 0 FT922-7483 1  12.9098 STANDARD
1 0 FT921-12775 1  12.902918 STANDARD
1 0 FT931-5522 1  12.902663 STANDARD
1 0 FT931-14267 1  12.899441 STANDARD
1 0 FT933-8824 1  12.899033 STANDARD
1 0 FT921-10251 1  12.893197 STANDARD
1 0 FT923-2208 1  12.883512 STANDARD
1 0 FT923-13252 1  12.880139 STANDARD
1 0 FT934-247 1  12.878026 STANDARD
1 0 FT931-10621 1  12.876542 STANDARD
1 0 FT924-11400 1  12.876486 STANDARD
1 0 FT944-7553 1  12.875098 STANDARD
1 0 FT932-4220 1  12.865961 STANDARD
1 0 FT934-7274 1  12.861809 STANDARD
1 0 FT921-9971 1  12.861155 STANDARD
1 0 FT941-15167 1  12.850856 STANDARD
1 0 FT922-11394 1  12.85044 STANDARD
1 0 FT921-3916 1  12.849957 STANDARD
1 0 FT922-10494 1  12.849012 STANDARD
1 0 FT923-14819 1  12.848382 STANDARD
1 0 FT922-1475 1  12.848193 STANDARD
1 0 FT922-4283 1  12.84646 STANDARD
1 0 FT942-853 1  12.843393 STANDARD
1 0 FT922-4643 1  12.832814 STANDARD
1 0 FT922-11724 1  12.830059 STANDARD
1 0 FT942-4689 1  12.829878 STANDARD
1 0 FT933-9379 1  12.82806 STANDARD
1 0 FT941-17362 1  12.826987 STANDARD
1 0 FT932-8377 1  12.823614 STANDARD
1 0 FT941-10895 1  12.823228 STANDARD
1 0 FT932-8673 1  12.818644 STANDARD
1 0 FT934-12728 1  12.817622 STANDARD
1 0 FT924-15851 1  12.8139305 STANDARD
1 0 FT931-16881 1  12.808266 STANDARD
1 0 FT931-16969 1  12.80409 STANDARD
1 0 FT943-3198 1  12.803905 STANDARD
1 0 FT931-11363 1  12.803775 STANDARD
1 0 FT923-2771 1  12.80049 STANDARD
1 0 FT932-4855 1  12.799851 STANDARD
1 0 FT932-8825 1  12.796818 STANDARD
1 0 FT911-1796 1  12.795967 STANDARD
1 0 FT922-354 1  12.794918 STANDARD
1 0 FT932-8299 1  12.789363 STANDARD
1 0 FT921-12163 1  12.788174 STANDARD
1 0 FT943-12285 1  12.785469 STANDARD
1 0 FT944-1778 1  12.7807455 STANDARD
1 0 FT933-6708 1  12.779257 STANDARD
1 0 FT943-10814 1  12.776819 STANDARD
1 0 FT943-14989 1  12.772664 STANDARD
1 0 FT944-10637 1  12.772156 STANDARD
1 0 FT924-8557 1  12.768097 STANDARD
1 0 FT922-9536 1  12.762526 STANDARD
1 0 FT922-3368 1  12.754212 STANDARD
1 0 FT942-13408 1  12.75388 STANDARD
1 0 FT924-3290 1  12.753103 STANDARD
1 0 FT923-362 1  12.752478 STANDARD
1 0 FT923-13298 1  12.745774 STANDARD
1 0 FT934-6175 1  12.74515 STANDARD
1 0 FT924-12294 1  12.7442465 STANDARD
1 0 FT934-15542 1  12.743612 STANDARD
1 0 FT923-1612 1  12.740228 STANDARD
1 0 FT924-15848 1  12.740073 STANDARD
1 0 FT924-12791 1  12.73926 STANDARD
1 0 FT942-8028 1  12.731575 STANDARD
